Title,Reference number,Published,Last updated
Efanesoctocog alfa for treating and preventing bleeding episodes in haemophilia A in people 2 years and over,TA1051,02-Apr-25,02-Apr-25
Pegylated liposomal irinotecan in combination for untreated metastatic pancreatic cancer (terminated appraisal),TA1052,02-Apr-25,02-Apr-25
Olipudase alfa for treating acid sphingomyelinase deficiency (Niemann–Pick disease) type AB and type B,HST32,02-Apr-25,02-Apr-25
Lisocabtagene maraleucel for treating relapsed or refractory large B-cell lymphoma after first-line chemoimmunotherapy when a stem cell transplant is suitable,TA1048,26-Mar-25,26-Mar-25
Blinatumomab with chemotherapy for consolidation treatment of Philadelphia-chromosome-negative CD19-positive minimal residual disease-negative B-cell precursor acute lymphoblastic leukaemia,TA1049,26-Mar-25,26-Mar-25
Fenfluramine for treating seizures associated with Lennox–Gastaut syndrome in people 2 years and over,TA1050,26-Mar-25,26-Mar-25
Zolbetuximab with chemotherapy for untreated claudin-18.2-positive HER2-negative unresectable advanced gastric or gastro-oesophageal junction adenocarcinoma,TA1046,12-Mar-25,12-Mar-25
Atezolizumab for untreated advanced or recurrent non-small-cell lung cancer when platinum-doublet chemotherapy is unsuitable (terminated appraisal),TA1047,12-Mar-25,12-Mar-25
Alcohol-mediated perivascular renal sympathetic denervation for resistant hypertension,IPG801,11-Mar-25,11-Mar-25
12 SQ-HDM SLIT for treating allergic rhinitis and allergic asthma caused by house dust mites,TA1045,05-Mar-25,05-Mar-25
Osimertinib for adjuvant treatment of EGFR mutation-positive non-small-cell lung cancer after complete tumour resection,TA1043,26-Feb-25,26-Feb-25
Exagamglogene autotemcel for treating severe sickle cell disease in people 12 years and over,TA1044,26-Feb-25,26-Feb-25
Durvalumab with etoposide and either carboplatin or cisplatin for untreated extensive-stage small-cell lung cancer,TA1041,19-Feb-25,19-Feb-25
Selpercatinib for previously treated RET fusion-positive advanced non-small-cell lung cancer,TA1042,19-Feb-25,19-Feb-25
Early and locally advanced breast cancer: diagnosis and management,NG101,18-Jul-18,19-Feb-25
Advanced breast cancer: diagnosis and treatment,CG81,23-Feb-09,19-Feb-25
Ganaxolone for treating seizures caused by CDKL5 deficiency disorder in people 2 years and over,TA1033,12-Feb-25,12-Feb-25
Selpercatinib for advanced thyroid cancer with RET alterations after treatment with a targeted cancer drug in people 12 years and over,TA1038,12-Feb-25,12-Feb-25
Selpercatinib for advanced thyroid cancer with RET alterations untreated with a targeted cancer drug in people 12 years and over,TA1039,12-Feb-25,12-Feb-25
Olaparib for treating BRCA mutation-positive HER2-negative advanced breast cancer after chemotherapy,TA1040,12-Feb-25,12-Feb-25
Artificial intelligence-derived software to analyse chest X-rays for suspected lung cancer in primary care referrals: early value assessment,HTE12,28-Sep-23,10-Feb-25
Ovarian cancer,QS18,21-May-12,05-Feb-25
Pembrolizumab for adjuvant treatment of resected non-small-cell lung cancer,TA1037,05-Feb-25,05-Feb-25
